Sector,Year,VolumeTotale,PrezzoInizioAnno,PrezzoFineAnno,VariazionePercentuale,PrezzoMedioGiornaliero
"INC.""",1988,862400,0.518518507480621,0.555555582046509,7.14,0.52
"INC.""",1991,11961100,0.685185194015503,0.851851880550385,24.32,0.71
"INC.""",1993,5335600,1.75925922393799,1.85185182094574,5.26,1.73
"INC.""",1995,5697800,1.96296298503876,2.66666674613953,35.85,2.39
"INC.""",1997,4458600,2.92592597007751,5.18518495559692,77.22,4.02
"INC.""",1999,8829700,15.125,5.40740728378296,-64.25,10.28
"INC.""",2000,13578400,5.22222232818604,3.98148155212402,-23.76,10.01
"INC.""",2002,16540200,14.3900003433228,14.0100002288818,-2.64,11.30
"INC.""",2004,17370400,8.22666645050049,14.1899995803833,72.49,13.24
"INC.""",2006,14111600,13.1333332061768,17.5866661071777,33.91,15.14
"INC.""",2008,22048900,11.2133331298828,14.6333332061768,30.50,12.50
"INC.""",2011,150891500,12.9899997711182,26.6800003051758,105.39,19.34
"INC.""",2013,165651500,28.7000007629395,29.3999996185303,2.44,21.59
"INC.""",2015,199704800,14.4899997711182,22.3899993896484,54.52,23.38
"INC.""",2017,232277800,14.1599998474121,14.1999998092651,0.28,25.55
"LTD.""",1997,4875800,2.0625,2.5625,24.24,2.47
"LTD.""",1999,3257000,0.726559996604919,0.71875,-1.07,0.71
"LTD.""",2000,8309000,0.78125,2.125,172.00,1.86
"LTD.""",2002,701800,1.64999997615814,0.939999997615814,-43.03,1.47
"LTD.""",2004,1942300,1.72500002384186,4.05000019073486,134.78,2.47
"LTD.""",2006,3880400,3.23000001907349,5.19000005722046,60.68,6.02
"LTD.""",2008,3123100,6.23999977111816,1.39999997615814,-77.56,4.18
"LTD.""",2011,7543100,6.55000019073486,4.57000017166138,-30.23,6.57
"LTD.""",2013,4887400,4.92999982833862,8.1899995803833,66.13,6.86
"LTD.""",2015,3808100,6.59000015258789,4.17000007629395,-36.72,5.25
"LTD.""",2017,2509500,5.8899998664856,7.19000005722046,22.07,6.39
"A GE COMPANY""",1988,80438500,14.25,14.0,-1.75,15.06
"A GE COMPANY""",1991,142272100,25.25,19.25,-23.76,25.00
"A GE COMPANY""",1993,158455900,19.5,20.0,2.56,23.91
"A GE COMPANY""",1995,177074300,18.0,24.375,35.42,20.77
"A GE COMPANY""",1997,391920600,34.5,43.625,26.45,40.42
"A GE COMPANY""",1999,562851300,18.3125,21.0625,15.02,26.86
"A GE COMPANY""",2000,575343000,20.25,41.5625,105.25,32.56
"A GE COMPANY""",2002,591145500,35.560001373291,32.189998626709,-9.48,32.44
"A GE COMPANY""",2004,608229200,31.7999992370605,42.6699981689453,34.18,38.55
"A GE COMPANY""",2006,1078848500,63.9300003051758,74.6600036621094,16.78,73.53
"A GE COMPANY""",2008,1416644800,81.1500015258789,32.0699996948242,-60.48,65.43
"A GE COMPANY""",2011,1486198600,57.2900009155273,48.6399993896484,-15.10,63.66
"A GE COMPANY""",2013,891681900,42.1300010681152,55.2599983215332,31.17,48.46
"A GE COMPANY""",2015,962737100,56.1699981689453,46.1500015258789,-17.84,58.14
"A GE COMPANY""",2017,819783400,65.0299987792969,31.6399993896484,-51.35,46.52
CO.,2008,345797900,125.116668701172,21.8500003814697,-82.54,74.07
CO.,2011,336215300,35.2999992370605,6.69999980926514,-81.02,23.27
CO.,2013,480538600,4.51000022888184,9.17000007629395,103.33,7.38
CO.,2015,316897000,8.35000038146973,9.69999980926514,16.17,8.64
CO.,2017,133883300,4.86999988555908,7.46000003814697,53.18,6.51
"CORP.""",2015,3506000,2.74000000953674,1.20000004768372,-56.20,3.22
"CORP.""",2017,309355000,25.2000007629395,25.2700004577637,0.28,15.42
"DICKINSON AND COMPANY""",1980,94440000,1.828125,3.265625,78.63,2.42
"DICKINSON AND COMPANY""",1982,144499200,3.0,2.65625,-11.46,2.69
"DICKINSON AND COMPANY""",1984,151576000,2.359375,2.4765625,4.97,2.25
"DICKINSON AND COMPANY""",1986,343133600,3.8984375,6.25,60.32,5.95
"DICKINSON AND COMPANY""",1988,230669600,6.4375,6.5,0.97,6.77
"DICKINSON AND COMPANY""",1991,310913600,9.34375,8.5625,-8.36,8.84
"DICKINSON AND COMPANY""",1993,166980400,9.71875,8.9375,-8.04,9.19
"DICKINSON AND COMPANY""",1995,201927600,12.0625,18.75,55.44,14.76
"DICKINSON AND COMPANY""",1997,173160000,21.6875,25.0,15.27,24.50
"DICKINSON AND COMPANY""",1999,299431300,43.0,26.9375,-37.35,32.07
"DICKINSON AND COMPANY""",2000,263894200,26.1875,34.625,32.22,28.52
"DICKINSON AND COMPANY""",2002,228226700,33.2900009155273,30.6900005340576,-7.81,32.97
"DICKINSON AND COMPANY""",2004,265361400,41.0299987792969,56.7999992370605,38.44,49.94
"DICKINSON AND COMPANY""",2006,227309200,60.4500007629395,70.1500015258789,16.05,65.58
"DICKINSON AND COMPANY""",2008,427024700,86.7799987792969,68.3899993896484,-21.19,81.22
"DICKINSON AND COMPANY""",2011,366750600,84.7300033569336,74.7200012207031,-11.81,80.22
"DICKINSON AND COMPANY""",2013,230446600,79.4499969482422,110.48999786377,39.07,98.03
"DICKINSON AND COMPANY""",2015,279548200,139.860000610352,154.089996337891,10.17,143.94
"DICKINSON AND COMPANY""",2017,420318200,165.149993896484,214.059997558594,29.62,140.42
"GOLD & INCOME TUST""",2012,21729500,13.9799995422363,13.6599998474121,-2.29,15.10
"GOLD & INCOME TUST""",2014,28591200,10.1700000762939,8.06999969482422,-20.65,10.26
"GOLD & INCOME TUST""",2016,28714900,5.78999996185303,6.67000007629395,15.20,7.02
"GOLD & INCOME TUST""",2018,9371000,6.84000015258789,5.96999979019165,-12.72,6.39
"INC (ME)""",2001,962700,5.08333349227905,7.36666679382324,44.92,6.27
"INC (ME)""",2003,582000,10.6666669845581,16.6333332061768,55.94,13.07
"INC (ME)""",2005,1265600,17.3999996185303,17.5799999237061,1.03,17.67
"INC (ME)""",2007,759900,16.6299991607666,14.6400003433228,-11.97,15.76
"INC (ME)""",2009,4575000,18.9099998474121,15.4200000762939,-18.46,17.05
"INC (ME)""",2010,3649300,15.5900001525879,15.789999961853,1.28,14.37
"INC (ME)""",2012,3821700,16.0799999237061,16.4699993133545,2.43,15.74
"INC (ME)""",2014,3938000,17.0699996948242,18.0900001525879,5.98,16.79
"INC (ME)""",2016,3939700,19.6499996185303,33.0999984741211,68.45,22.03
"INC (ME)""",2018,1734400,27.1100006103516,29.7700004577637,9.81,28.69
"INC""",1980,41515800,2.30844783782959,2.3308641910553,0.97,2.37
"INC""",1982,169425000,2.18565821647644,2.48035359382629,13.48,2.47
"INC""",1984,303528800,2.87328100204468,1.62962961196899,-43.28,2.65
"INC""",1986,304021800,1.86640477180481,2.30844783782959,23.68,3.06
"INC""",1988,253346800,3.92592597007751,4.51851844787598,15.09,3.02
"INC""",1991,258925400,3.68369340896606,5.05893898010254,37.33,5.12
"INC""",1993,202550900,5.20628690719604,1.10416662693024,-78.79,6.27
"INC""",1995,644990200,5.74656200408936,7.51473474502563,30.77,9.36
"INC""",1997,819541300,9.25,10.6875,15.54,17.33
"INC""",1999,1540964600,0.90625,1.27604162693024,40.80,9.09
"INC""",2000,2103575600,5.74598598480225,1.40499997138977,-75.55,11.85
"INC""",2002,5722905000,9.23772144317627,7.85854625701904,-14.93,9.06
"INC""",2004,3382389500,3.45000004768372,3.52999997138977,2.32,13.63
"INC""",2006,3928150800,20.4099998474121,24.4799995422363,19.94,15.34
"INC""",2008,6645226900,14.1400003433228,0.200000002980232,-98.59,14.25
"INC""",2011,7350378512,8.03999996185303,4.71999979019165,-41.29,16.36
"INC""",2013,8063681200,25.2900009155273,29.5499992370605,16.84,38.29
"INC""",2015,7966422057,4.17999982833862,4.3899998664856,5.02,27.09
"INC""",2017,8713291500,19.3999996185303,31.3899993896484,61.80,24.26
"INC. (HOLDING CO.)""",1984,10537200,14.0833301544189,16.25,15.38,15.31
"INC. (HOLDING CO.)""",1986,58505700,19.3333301544189,22.0,13.79,22.55
"INC. (HOLDING CO.)""",1988,120693900,13.25,8.33333015441895,-37.11,10.40
"INC. (HOLDING CO.)""",1991,29335900,5.5,6.5,18.18,6.22
"INC. (HOLDING CO.)""",1993,55618400,8.25,7.5,-9.09,7.69
"INC. (HOLDING CO.)""",1995,44659900,8.66666984558105,11.75,35.58,9.67
"INC. (HOLDING CO.)""",1997,69403000,12.8333301544189,15.7916698455811,23.05,12.50
"INC. (HOLDING CO.)""",1999,66313500,13.4166698455811,10.8333301544189,-19.25,12.20
"INC. (HOLDING CO.)""",2000,84845700,10.4166698455811,17.875,71.60,13.08
