Sector,Year,Volatilita(StdDev),PrezzoMedio
"INC.""",1988,0.0247,0.52
"INC.""",1991,0.0704,0.71
"INC.""",1993,0.1372,1.73
"INC.""",1995,0.2692,2.39
"INC.""",1997,0.7375,4.02
"INC.""",1999,4.3772,10.28
"INC.""",2000,3.5372,10.01
"INC.""",2002,3.8215,11.30
"INC.""",2004,1.7608,13.24
"INC.""",2006,0.8281,15.14
"INC.""",2008,1.9035,12.50
"INC.""",2011,6.1868,19.34
"INC.""",2013,7.0205,21.59
"INC.""",2015,9.5990,23.38
"INC.""",2017,11.6847,25.55
"LTD.""",1997,0.1435,2.47
"LTD.""",1999,0.1072,0.71
"LTD.""",2000,0.4499,1.86
"LTD.""",2002,0.2670,1.47
"LTD.""",2004,0.6303,2.47
"LTD.""",2006,1.1564,6.02
"LTD.""",2008,1.7555,4.18
"LTD.""",2011,0.9908,6.57
"LTD.""",2013,0.8065,6.86
"LTD.""",2015,0.8665,5.25
"LTD.""",2017,0.5375,6.39
"A GE COMPANY""",1988,1.7480,15.06
"A GE COMPANY""",1991,2.8132,25.00
"A GE COMPANY""",1993,2.9265,23.91
"A GE COMPANY""",1995,1.6805,20.77
"A GE COMPANY""",1997,3.7399,40.42
"A GE COMPANY""",1999,5.8674,26.86
"A GE COMPANY""",2000,5.3458,32.56
"A GE COMPANY""",2002,3.8630,32.44
"A GE COMPANY""",2004,3.3932,38.55
"A GE COMPANY""",2006,6.0272,73.53
"A GE COMPANY""",2008,20.0010,65.43
"A GE COMPANY""",2011,9.2642,63.66
"A GE COMPANY""",2013,4.3111,48.46
"A GE COMPANY""",2015,6.1087,58.14
"A GE COMPANY""",2017,12.9505,46.52
CO.,2008,34.5164,74.07
CO.,2011,10.9509,23.27
CO.,2013,2.2715,7.38
CO.,2015,0.8451,8.64
CO.,2017,1.0007,6.51
"CORP.""",2015,5.2230,3.22
"CORP.""",2017,12.2764,15.42
"DICKINSON AND COMPANY""",1980,0.3626,2.42
"DICKINSON AND COMPANY""",1982,0.1708,2.69
"DICKINSON AND COMPANY""",1984,0.1427,2.25
"DICKINSON AND COMPANY""",1986,0.9938,5.95
"DICKINSON AND COMPANY""",1988,0.4102,6.77
"DICKINSON AND COMPANY""",1991,0.6613,8.84
"DICKINSON AND COMPANY""",1993,0.3943,9.19
"DICKINSON AND COMPANY""",1995,1.5552,14.76
"DICKINSON AND COMPANY""",1997,1.3376,24.50
"DICKINSON AND COMPANY""",1999,5.2711,32.07
